Date,Time,Temperature,CO2,Humidity
04/01/25,09:18:47,22.025253295898438,619.2242431640625,36.87
04/01/25,09:19:17,22.1507568359375,606.3471069335938,36.69
04/01/25,09:19:48,22.265586853027344,599.5885620117188,36.49
04/01/25,09:20:18,22.393760681152344,600.9403076171875,36.25
04/01/25,09:20:48,22.40711212158203,600.6979370117188,36.20
04/01/25,09:21:18,22.2362060546875,600.3367309570312,36.23
04/01/25,09:21:49,22.067977905273438,596.7544555664062,36.53
04/01/25,09:22:19,22.1507568359375,2983.807861328125,41.41
04/01/25,09:22:49,21.942474365234375,779.2357177734375,36.88
04/01/25,09:23:19,21.857025146484375,622.6455688476562,37.00
04/01/25,09:23:49,21.718162536621094,609.76953125,37.19
04/01/25,09:24:20,21.547264099121094,608.8836669921875,37.54
04/01/25,09:24:50,21.43511199951172,605.2054443359375,37.90
04/01/25,09:25:20,21.322959899902344,648.314208984375,37.96
04/01/25,09:25:50,21.210800170898438,623.1550903320312,38.26
04/01/25,09:26:21,21.109329223632812,612.2379150390625,38.51
04/01/25,09:26:51,21.136032104492188,606.0618896484375,38.65
04/01/25,09:27:21,21.34966278076172,607.4133911132812,38.38
04/01/25,09:27:51,21.587318420410156,610.1006469726562,37.94
04/01/25,09:28:22,21.74486541748047,607.5042114257812,37.54
04/03/25,09:16:55,24.869155883789062,748.5132446289062,32.92
04/03/25,09:17:26,24.855804443359375,742.7910766601562,32.91
04/03/25,09:17:56,24.786376953125,737.5699462890625,32.91
04/03/25,09:18:26,24.73029327392578,734.6163330078125,32.88
04/03/25,09:18:56,24.68756866455078,731.5757446289062,32.93
04/03/25,09:19:26,24.674217224121094,731.9130859375,33.09
04/03/25,09:20:16,24.575416564941406,716.8521728515625,33.35
04/03/25,09:20:46,24.588768005371094,721.6149291992188,33.46
04/03/25,09:21:16,24.56206512451172,724.6563110351562,33.56
04/03/25,09:21:47,24.54871368408203,728.0968017578125,33.71
04/03/25,09:22:17,24.56206512451172,820.3636474609375,33.91
04/03/25,09:22:47,24.532691955566406,824.19677734375,34.00
04/03/25,09:23:21,24.575416564941406,827.898193359375,34.13
04/03/25,09:23:51,24.54871368408203,825.1014404296875,34.26
04/03/25,09:24:21,24.56206512451172,820.8632202148438,34.36
04/03/25,09:24:51,24.56206512451172,815.392578125,34.33
04/03/25,09:25:21,24.575416564941406,808.2247924804688,34.28
04/03/25,09:25:52,24.54871368408203,791.137451171875,34.27
04/03/25,09:26:22,24.54871368408203,783.7687377929688,34.30
04/03/25,09:26:52,24.532691955566406,779.09033203125,34.33
04/03/25,09:27:22,24.54871368408203,775.62939453125,34.31
04/03/25,09:27:53,24.50598907470703,774.909423828125,34.25
04/03/25,09:28:23,24.492637634277344,773.4634399414062,34.18
04/03/25,09:28:53,24.47661590576172,771.2160034179688,34.08
04/03/25,09:29:23,24.43389129638672,765.0073852539062,33.98
04/03/25,09:29:54,24.447242736816406,759.0938720703125,33.92
04/03/25,09:30:24,24.404518127441406,753.00146484375,33.87
04/03/25,09:30:54,24.39116668701172,747.7317504882812,33.93
04/03/25,09:31:24,24.39116668701172,745.125244140625,34.01
04/03/25,09:31:55,24.404518127441406,739.9769287109375,34.05
04/03/25,09:32:25,24.39116668701172,736.8276977539062,34.13
04/03/25,09:32:55,24.37781524658203,732.5517578125,34.22
04/03/25,09:33:25,24.37781524658203,731.3368530273438,34.23
04/03/25,09:33:56,24.361793518066406,727.5292358398438,34.24
04/03/25,09:34:26,24.33509063720703,723.7998657226562,34.28
04/03/25,09:34:56,24.33509063720703,721.2131958007812,34.24
04/03/25,09:35:26,24.34844207763672,718.0146484375,34.21
04/03/25,09:35:57,24.33509063720703,715.2507934570312,34.19
04/03/25,09:36:27,24.33509063720703,712.5792236328125,34.16
04/03/25,09:36:57,24.33509063720703,713.031494140625,34.15
04/03/25,09:37:27,24.30571746826172,710.372802734375,34.11
04/03/25,09:37:58,24.30571746826172,709.0550537109375,34.06
04/03/25,09:38:28,24.29236602783203,706.8356323242188,34.07
04/03/25,09:38:58,24.279014587402344,703.9171142578125,34.05
04/03/25,09:39:28,24.2496337890625,704.9562377929688,34.05
04/03/25,09:39:58,24.2496337890625,704.2896118164062,34.02
04/03/25,09:40:29,24.222930908203125,705.2379150390625,34.11
04/03/25,09:40:59,24.236282348632812,702.792236328125,34.17
04/03/25,09:41:29,24.236282348632812,703.78369140625,34.26
04/03/25,09:41:59,24.236282348632812,704.6873779296875,34.32
04/03/25,09:42:30,24.236282348632812,704.59033203125,34.36
04/03/25,09:43:00,24.279014587402344,706.3148193359375,34.43
04/03/25,09:43:30,24.2496337890625,705.892578125,34.47
04/03/25,09:44:00,24.2496337890625,704.7512817382812,34.44
04/03/25,09:44:31,24.236282348632812,705.1257934570312,34.47
04/03/25,09:45:01,24.2496337890625,705.4899291992188,34.44
04/03/25,09:45:31,24.236282348632812,706.9630126953125,34.36
04/03/25,09:46:01,24.2496337890625,708.298828125,34.39
04/03/25,09:46:32,24.236282348632812,707.3407592773438,34.35
04/03/25,09:47:02,24.236282348632812,706.7688598632812,34.32
